"","Country","Amount","FirstMth","LastMth","Months","Purchases","Amount.per.Purchase","Purchases.per.Month","Amount.per.Month"
"12427","Germany",825.8,1,12,12,31,26.6387096774194,2.58333333333333,68.8166666666667
"12428","Finland",7956.46,4,12,9,294,27.0627891156463,32.6666666666667,884.051111111111
"12430","Norway",256.4,11,11,1,11,23.3090909090909,11,256.4
"12432","Norway",5059.32,7,11,5,108,46.8455555555556,21.6,1011.864
"12433","Norway",10737.18,1,12,12,354,30.3310169491525,29.5,894.765
"12434","Australia",806.14,4,10,7,50,16.1228,7.14285714285714,115.162857142857
"12435","Denmark",7829.89,4,10,7,36,217.496944444444,5.14285714285714,1118.55571428571
"12436","Norway",509.01,10,10,1,16,31.813125,16,509.01
"12437","France",4785.51,2,12,11,197,24.2919289340102,17.9090909090909,435.046363636364
"12438","Norway",2906.85,8,12,5,98,29.6617346938775,19.6,581.37
"12441","France",173.55,1,1,1,11,15.7772727272727,11,173.55
"12444","Norway",5005.46,7,12,6,177,28.2794350282486,29.5,834.243333333333
"12445","Spain",133.4,12,12,1,4,33.35,4,133.4
"12446","RSA",1002.31,11,11,1,58,17.2812068965517,58,1002.31
"12447","Belgium",476.49,5,5,1,26,18.3265384615385,26,476.49
"12448","Spain",449.45,11,11,1,22,20.4295454545455,22,449.45
"12449","Belgium",4067.29,7,12,6,191,21.2947120418848,31.8333333333333,677.881666666667
"12450","Spain",197.88,7,8,2,8,24.735,4,98.94
"12451","Switzerland",9035.52,2,12,11,354,25.5240677966102,32.1818181818182,821.410909090909
"12452","Switzerland",430.57,12,12,1,22,19.5713636363636,22,430.57
"12453","Austria",707.09,8,8,1,43,16.4439534883721,43,707.09
"12454","Spain",3528.34,11,11,1,15,235.222666666667,15,3528.34
"12456","Switzerland",3181.04,4,11,8,125,25.44832,15.625,397.63
"12458","Switzerland",947.4,3,10,8,38,24.9315789473684,4.75,118.425
"12461","Switzerland",826.88,8,10,3,35,23.6251428571429,11.6666666666667,275.626666666667
"12462","Spain",1189.59,3,12,10,62,19.186935483871,6.2,118.959
"12463","Belgium",1344.78,5,11,7,83,16.2021686746988,11.8571428571429,192.111428571429
"12464","Belgium",1212.05,3,12,10,29,41.7948275862069,2.9,121.205
"12465","Belgium",742.19,7,12,6,47,15.7912765957447,7.83333333333333,123.698333333333
"12468","Germany",729.54,2,7,6,38,19.1984210526316,6.33333333333333,121.59
"12471","Germany",17585.54,1,12,12,422,41.6718957345972,35.1666666666667,1465.46166666667
"12472","Germany",6572.11,1,12,12,339,19.3867551622419,28.25,547.675833333333
"12473","Germany",3938.55,7,12,6,168,23.44375,28,656.425
"12474","Germany",7375.79,2,12,11,424,17.3957311320755,38.5454545454545,670.526363636364
"12475","Germany",723.38,11,11,1,36,20.0938888888889,36,723.38
"12476","Germany",6816.42,1,12,12,233,29.2550214592275,19.4166666666667,568.035
"12477","Germany",13219.74,3,12,10,300,44.0658,30,1321.974
"12479","Germany",527.2,12,12,1,31,17.0064516129032,31,527.2
"12480","Germany",3281.63,2,12,11,154,21.3092857142857,14,298.33
"12481","Germany",5596.32,1,12,12,217,25.7894930875576,18.0833333333333,466.36
"12483","Sweden",2484.98,2,12,11,75,33.1330666666667,6.81818181818182,225.907272727273
"12484","Spain",4541.72,2,12,11,346,13.1263583815029,31.4545454545455,412.883636363636
"12488","France",1298.66,10,12,3,55,23.612,18.3333333333333,432.886666666667
"12489","France",334.93,2,2,1,15,22.3286666666667,15,334.93
"12490","France",4955.63,2,12,11,219,22.6284474885845,19.9090909090909,450.511818181818
"12491","France",460.4,12,12,1,26,17.7076923076923,26,460.4
"12492","Germany",263.21,9,11,3,20,13.1605,6.66666666666667,87.7366666666667
"12493","France",433.74,6,7,2,22,19.7154545454545,11,216.87
"12494","France",1246.1,1,12,12,77,16.1831168831169,6.41666666666667,103.841666666667
"12497","Germany",1043.1,10,10,1,14,74.5071428571429,14,1043.1
"12498","Germany",403.7,11,12,2,23,17.5521739130435,11.5,201.85
"12500","Germany",4257.82,2,12,11,61,69.8003278688524,5.54545454545455,387.074545454545
"12501","Germany",2169.39,2,2,1,149,14.5596644295302,149,2169.39
"12502","Spain",3723.87,3,10,8,147,25.3324489795918,18.375,465.48375
"12504","Germany",482.05,12,12,1,9,53.5611111111111,9,482.05
"12506","France",73.5,5,5,1,23,3.19565217391304,23,73.5
"12507","Spain",1304.81,3,8,6,22,59.3095454545455,3.66666666666667,217.468333333333
"12508","France",398.27,12,12,1,69,5.77202898550725,69,398.27
"12509","France",176.5,3,3,1,7,25.2142857142857,7,176.5
"12510","Spain",982.57,2,8,7,33,29.7748484848485,4.71428571428571,140.367142857143
"12512","Israel",138.03,11,11,1,34,4.05970588235294,34,138.03
"12513","France",612.29,9,9,1,35,17.494,35,612.29
"12514","Italy",1017.68,4,4,1,51,19.9545098039216,51,1017.68
"12515","Italy",383.7,1,1,1,16,23.98125,16,383.7
"12516","Germany",1312.06,7,10,4,26,50.4638461538461,6.5,328.015
"12517","Germany",2502.84,7,12,6,284,8.81281690140845,47.3333333333333,417.14
"12518","Germany",1717.75,9,12,4,106,16.2051886792453,26.5,429.4375
"12519","Germany",340.84,11,11,1,18,18.9355555555556,18,340.84
"12520","Germany",2634.26,4,10,7,152,17.3306578947368,21.7142857142857,376.322857142857
"12521","Germany",599.68,8,8,1,38,15.7810526315789,38,599.68
"12522","Germany",192.72,11,11,1,12,16.06,12,192.72
"12523","France",1789.77,2,12,11,106,16.8846226415094,9.63636363636364,162.706363636364
"12524","Germany",4485.72,2,12,11,144,31.1508333333333,13.0909090909091,407.792727272727
"12526","Germany",1039.58,10,11,2,58,17.9237931034483,29,519.79
"12527","Germany",348.71,2,10,9,18,19.3727777777778,2,38.7455555555556
"12528","Germany",1933.48,2,12,11,92,21.0160869565217,8.36363636363636,175.770909090909
"12530","Germany",1662.28,2,11,10,66,25.1860606060606,6.6,166.228
"12531","Germany",125.22,12,12,1,17,7.36588235294118,17,125.22
"12532","France",349.83,12,12,1,16,21.864375,16,349.83
"12534","Germany",1089.18,9,9,1,63,17.2885714285714,63,1089.18
"12535","France",716.35,7,10,4,34,21.0691176470588,8.5,179.0875
"12536","France",12601.83,11,11,1,261,48.2828735632184,261,12601.83
"12538","Spain",363.95,12,12,1,21,17.3309523809524,21,363.95
"12539","Spain",5568.35,2,12,11,273,20.3968864468864,24.8181818181818,506.213636363636
"12540","Spain",13400.24,1,12,12,478,28.0339748953975,39.8333333333333,1116.68666666667
"12541","Spain",981.18,4,12,9,52,18.8688461538462,5.77777777777778,109.02
"12544","Spain",372.7,12,12,1,19,19.6157894736842,19,372.7
"12545","Spain",1000.39,4,10,7,50,20.0078,7.14285714285714,142.912857142857
"12546","Spain",1161.5,10,11,2,69,16.8333333333333,34.5,580.75
"12547","Spain",207.8,4,6,3,8,25.975,2.66666666666667,69.2666666666667
"12548","Spain",95.2,7,7,1,5,19.04,5,95.2
"12550","Spain",964.83,10,10,1,57,16.9268421052632,57,964.83
"12551","Spain",168,1,1,1,10,16.8,10,168
"12552","Italy",437.82,11,12,2,20,21.891,10,218.91
"12553","France",3415.26,2,12,11,181,18.8688397790055,16.4545454545455,310.478181818182
"12556","Spain",603.71,8,11,4,121,4.98933884297521,30.25,150.9275
"12557","Spain",11990.96,1,12,12,33,363.362424242424,2.75,999.246666666667
"12559","Germany",561.71,2,3,2,21,26.7480952380952,10.5,280.855
"12560","Germany",1436.31,8,9,2,77,18.6533766233766,38.5,718.155
"12561","Germany",238.85,3,3,1,16,14.928125,16,238.85
"12562","France",3127.37,6,12,7,146,21.4203424657534,20.8571428571429,446.767142857143
"12564","France",456.9,4,4,1,21,21.7571428571429,21,456.9
"12565","Saudi Arabia",145.92,3,3,1,9,16.2133333333333,9,145.92
"12566","Germany",351.65,10,10,1,19,18.5078947368421,19,351.65
"12567","France",9401.28,1,12,12,446,21.0791031390135,37.1666666666667,783.44
"12569","Germany",3429.67,5,12,8,151,22.7130463576159,18.875,428.70875
"12571","France",519.61,9,11,3,34,15.2826470588235,11.3333333333333,173.203333333333
"12572","Germany",532.74,11,11,1,36,14.7983333333333,36,532.74
"12573","France",160.54,5,5,1,28,5.73357142857143,28,160.54
"12574","France",218.45,2,2,1,11,19.8590909090909,11,218.45
"12576","Poland",1315.83,3,12,10,88,14.9526136363636,8.8,131.583
"12577","France",657.8,1,12,12,147,4.47482993197279,12.25,54.8166666666667
"12578","Italy",2794.51,2,12,11,114,24.5132456140351,10.3636363636364,254.046363636364
"12579","France",440.42,10,10,1,29,15.1868965517241,29,440.42
"12580","Germany",415.7,5,5,1,24,17.3208333333333,24,415.7
"12581","Germany",197.71,11,11,1,15,13.1806666666667,15,197.71
"12582","Finland",511.36,3,5,3,22,23.2436363636364,7.33333333333333,170.453333333333
"12583","France",6586.61,1,12,12,228,28.8886403508772,19,548.884166666667
"12584","Italy",2137.7,4,12,9,88,24.2920454545455,9.77777777777778,237.522222222222
"12585","Germany",2040.1,1,5,5,87,23.4494252873563,17.4,408.02
"12586","Italy",196.94,12,12,1,11,17.9036363636364,11,196.94
"12588","Finland",214.9,11,11,1,10,21.49,10,214.9
"12589","France",646.68,8,12,5,35,18.4765714285714,7,129.336
"12590","Germany",9864.26,6,6,1,68,145.062647058824,68,9864.26
"12591","Italy",452.85,2,2,1,26,17.4173076923077,26,452.85
"12592","Germany",437.6,6,10,5,18,24.3111111111111,3.6,87.52
"12593","France",418.1,6,9,4,21,19.9095238095238,5.25,104.525
"12594","Italy",3338.22,2,12,11,118,28.29,10.7272727272727,303.474545454545
"12596","Spain",618.27,5,11,7,27,22.8988888888889,3.85714285714286,88.3242857142857
"12597","Spain",3811.22,4,12,9,206,18.501067961165,22.8888888888889,423.468888888889
"12598","France",3023.08,3,12,10,132,22.9021212121212,13.2,302.308
"12599","France",1032.58,3,12,10,62,16.6545161290323,6.2,103.258
"12600","Germany",2599.04,1,12,12,64,40.61,5.33333333333333,216.586666666667
"12601","Germany",577.06,2,7,6,28,20.6092857142857,4.66666666666667,96.1766666666667
"12602","France",153.12,11,11,1,12,12.76,12,153.12
"12603","Germany",739.2,12,12,1,3,246.4,3,739.2
"12604","France",254.18,4,10,7,16,15.88625,2.28571428571429,36.3114285714286
"12607","USA",1579.51,11,11,1,101,15.6387128712871,101,1579.51
"12609","Germany",1126.85,2,10,9,60,18.7808333333333,6.66666666666667,125.205555555556
"12610","Italy",2099.54,9,12,4,106,19.8069811320755,26.5,524.885
"12611","Italy",1193.32,11,11,1,65,18.3587692307692,65,1193.32
"12612","Germany",704.04,10,10,1,19,37.0547368421053,19,704.04
"12613","Germany",3344.38,4,11,8,153,21.8586928104575,19.125,418.0475
"12614","Germany",315.6,4,4,1,20,15.78,20,315.6
"12615","France",1868.34,7,12,6,85,21.9804705882353,14.1666666666667,311.39
"12616","France",713.3,3,10,8,32,22.290625,4,89.1625
"12617","France",355.53,12,12,1,42,8.465,42,355.53
"12618","Italy",177.31,12,12,1,11,16.1190909090909,11,177.31
"12619","Germany",3641.24,4,12,9,90,40.4582222222222,10,404.582222222222
"12620","France",1339.41,6,12,7,92,14.5588043478261,13.1428571428571,191.344285714286
"12621","Germany",12501.47,1,12,12,410,30.4913902439024,34.1666666666667,1041.78916666667
"12622","Germany",180.1,5,5,1,11,16.3727272727273,11,180.1
"12623","Germany",305.1,4,4,1,18,16.95,18,305.1
"12624","France",641.13,7,9,3,38,16.8718421052632,12.6666666666667,213.71
"12625","Germany",2683.82,2,6,5,86,31.2072093023256,17.2,536.764
"12626","Germany",6620.48,2,12,11,294,22.5186394557823,26.7272727272727,601.861818181818
"12627","Germany",4478.53,8,12,5,230,19.4718695652174,46,895.706
"12628","Germany",571.21,11,12,2,28,20.4003571428571,14,285.605
"12630","Finland",1270.88,11,12,2,64,19.8575,32,635.44
"12631","Finland",640.5,11,11,1,31,20.6612903225806,31,640.5
"12633","Germany",2163.98,3,11,9,101,21.4255445544554,11.2222222222222,240.442222222222
"12635","Germany",1689.18,8,10,3,101,16.7245544554455,33.6666666666667,563.06
"12637","France",6021.9,2,11,10,390,15.4407692307692,39,602.19
"12638","Sweden",671.69,12,12,1,39,17.2228205128205,39,671.69
"12639","Sweden",486.1,5,5,1,22,22.0954545454545,22,486.1
"12640","France",1174.58,10,12,3,53,22.1618867924528,17.6666666666667,391.526666666667
"12641","Sweden",185.9,9,9,1,10,18.59,10,185.9
"12642","Germany",1013.26,9,12,4,47,21.5587234042553,11.75,253.315
"12643","France",3344.64,2,9,8,24,139.36,3,418.08
"12644","Germany",477.91,9,9,1,31,15.4164516129032,31,477.91
"12645","Germany",1775.18,2,12,11,73,24.3175342465753,6.63636363636364,161.38
"12646","USA",731.69,11,11,1,24,30.4870833333333,24,731.69
"12647","Germany",3722.82,1,12,12,122,30.5149180327869,10.1666666666667,310.235
"12648","Germany",318.05,8,8,1,21,15.1452380952381,21,318.05
"12649","Germany",623.51,6,9,4,31,20.1132258064516,7.75,155.8775
"12651","France",114,2,2,1,9,12.6666666666667,9,114
"12652","France",919.98,2,2,1,48,19.16625,48,919.98
"12653","Israel",2209.85,3,8,6,43,51.3918604651163,7.16666666666667,368.308333333333
"12654","Germany",601.98,3,12,10,38,15.8415789473684,3.8,60.198
"12656","France",4051.17,5,12,8,126,32.1521428571429,15.75,506.39625
"12657","France",1643.18,10,12,3,47,34.9612765957447,15.6666666666667,547.726666666667
"12658","Germany",686.05,12,12,1,36,19.0569444444444,36,686.05
"12659","France",91.68,12,12,1,5,18.336,5,91.68
"12660","France",245.1,12,12,1,13,18.8538461538462,13,245.1
"12662","Germany",3624.83,1,12,12,217,16.7042857142857,18.0833333333333,302.069166666667
"12664","Finland",3991.88,2,12,11,33,120.966060606061,3,362.898181818182
"12665","Germany",63,2,2,1,3,21,3,63
"12667","Finland",620.13,11,11,1,33,18.7918181818182,33,620.13
"12668","Germany",3807.15,1,12,12,161,23.6468944099379,13.4166666666667,317.2625
"12669","France",2744.03,4,8,5,101,27.1686138613861,20.2,548.806
"12670","France",2996.05,5,12,8,92,32.5657608695652,11.5,374.50625
"12672","France",225.9,2,2,1,10,22.59,10,225.9
"12673","Germany",220.9,2,2,1,23,9.60434782608696,23,220.9
"12674","France",1970.6,6,12,7,83,23.7421686746988,11.8571428571429,281.514285714286
"12676","Sweden",1331.39,3,12,10,45,29.5864444444444,4.5,133.139
"12678","France",17628.46,1,11,11,165,106.839151515152,15,1602.58727272727
"12679","France",1113.02,4,11,8,48,23.1879166666667,6,139.1275
"12680","France",613.36,9,10,2,37,16.5772972972973,18.5,306.68
"12681","France",13787.54,1,12,12,638,21.6105642633229,53.1666666666667,1148.96166666667
"12682","France",11651.59,1,12,12,495,23.5385656565657,41.25,970.965833333333
"12683","France",7679.09,1,11,11,309,24.8514239482201,28.0909090909091,698.099090909091
"12684","France",2104.23,6,12,7,99,21.2548484848485,14.1428571428571,300.604285714286
"12685","France",2863.08,10,12,3,157,18.236178343949,52.3333333333333,954.36
"12686","France",89.14,1,1,1,7,12.7342857142857,7,89.14
"12688","Israel",4873.81,9,9,1,171,28.5018128654971,171,4873.81
"12689","France",1247.61,9,12,4,72,17.3279166666667,18,311.9025
"12690","France",389.01,6,6,1,16,24.313125,16,389.01
"12691","France",1035.8,1,12,12,32,32.36875,2.66666666666667,86.3166666666667
"12693","Germany",855.91,2,9,8,39,21.9464102564103,4.875,106.98875
"12694","France",869.67,7,10,4,37,23.5045945945946,9.25,217.4175
"12695","France",497,6,11,6,24,20.7083333333333,4,82.8333333333333
"12697","Sweden",957.59,7,12,6,41,23.3558536585366,6.83333333333333,159.598333333333
"12700","France",3625.24,6,11,6,211,17.1812322274882,35.1666666666667,604.206666666667
"12701","Germany",797.71,5,10,6,53,15.0511320754717,8.83333333333333,132.951666666667
"12702","Germany",219,12,12,1,12,18.25,12,219
"12703","Germany",283.55,10,10,1,21,13.502380952381,21,283.55
"12704","Finland",2142.08,7,12,6,83,25.8081927710843,13.8333333333333,357.013333333333
"12705","Germany",6868.29,1,12,12,334,20.5637425149701,27.8333333333333,572.3575
"12707","France",603.42,3,3,1,33,18.2854545454545,33,603.42
"12708","Germany",2712.91,1,12,12,157,17.2796815286624,13.0833333333333,226.075833333333
"12709","Germany",9736.52,1,12,12,208,46.8101923076923,17.3333333333333,811.376666666667
"12710","Germany",1149.02,6,10,5,77,14.9223376623377,15.4,229.804
"12712","Germany",4396.13,1,12,12,133,33.0536090225564,11.0833333333333,366.344166666667
"12714","France",4708.86,3,12,10,259,18.1809266409266,25.9,470.886
"12715","Sweden",353.86,9,9,1,21,16.8504761904762,21,353.86
"12716","France",677.9,8,8,1,45,15.0644444444444,45,677.9
"12717","Greece",1030.98,5,8,4,55,18.7450909090909,13.75,257.745
"12718","France",238.25,10,10,1,19,12.5394736842105,19,238.25
"12719","France",283.6,11,11,1,18,15.7555555555556,18,283.6
"12720","Germany",5399.26,1,12,12,335,16.1171940298507,27.9166666666667,449.938333333333
"12721","France",2656.13,1,12,12,161,16.497701863354,13.4166666666667,221.344166666667
"12722","France",997.63,8,10,3,53,18.8232075471698,17.6666666666667,332.543333333333
"12723","France",647.79,11,12,2,64,10.12171875,32,323.895
"12724","France",823.17,2,10,9,45,18.2926666666667,5,91.4633333333333
"12725","Italy",427.8,1,1,1,24,17.825,24,427.8
"12726","France",2609.1,1,12,12,124,21.0411290322581,10.3333333333333,217.425
"12727","France",3980.7,2,12,11,139,28.6381294964029,12.6363636363636,361.881818181818
"12728","France",836.33,2,10,9,46,18.1810869565217,5.11111111111111,92.9255555555556
"12729","France",453.01,9,9,1,26,17.4234615384615,26,453.01
"12731","France",18895.91,1,12,12,274,68.9631751824817,22.8333333333333,1574.65916666667
"12732","France",236.26,7,7,1,12,19.6883333333333,12,236.26
"12733","USA",383.95,5,5,1,22,17.4522727272727,22,383.95
"12734","France",110.4,1,1,1,4,27.6,4,110.4
"12735","France",779.57,2,2,1,43,18.1295348837209,43,779.57
"12736","France",234,2,2,1,4,58.5,4,234
"12738","Germany",155.35,1,1,1,11,14.1227272727273,11,155.35
"12739","United Arab Emirates",1013.04,10,10,1,38,26.6589473684211,38,1013.04
"12740","France",427.6,11,11,1,27,15.837037037037,27,427.6
"12744","Singapore",21279.29,2,11,10,222,95.8526576576577,22.2,2127.929
"12747","United Kingdom",3757.51,1,12,12,96,39.1407291666667,8,313.125833333333
"12748","United Kingdom",32649.46,1,12,12,4290,7.61059673659674,357.5,2720.78833333333
"12749","United Kingdom",3327.82,6,12,7,160,20.798875,22.8571428571429,475.402857142857
"12750","Poland",275.88,9,9,1,15,18.392,15,275.88
"12752","Norway",4366.78,10,10,1,53,82.3920754716981,53,4366.78
"12753","Japan",21429.39,1,12,12,197,108.778629441624,16.4166666666667,1785.7825
"12754","Japan",3010.74,3,5,3,63,47.7895238095238,21,1003.58
"12755","Japan",3811.95,1,4,4,4,952.9875,1,952.9875
"12756","Japan",112.08,10,10,1,4,28.02,4,112.08
"12757","Portugal",7857.1,6,12,7,371,21.178167115903,53,1122.44285714286
"12758","Portugal",2791.59,4,9,6,97,28.7792783505155,16.1666666666667,465.265
"12759","Netherlands",1531.44,4,11,8,95,16.1204210526316,11.875,191.43
"12762","Portugal",461.59,12,12,1,21,21.9804761904762,21,461.59
"12763","Japan",494.08,1,8,8,18,27.4488888888889,2.25,61.76
"12764","Lebanon",1693.88,2,2,1,45,37.6417777777778,45,1693.88
"12766","Portugal",6271.2,1,11,11,288,21.775,26.1818181818182,570.109090909091
"12769","Brazil",1143.6,5,5,1,32,35.7375,32,1143.6
"12770","Japan",1351.45,6,6,1,12,112.620833333333,12,1351.45
"12772","Portugal",892.47,11,11,1,55,16.2267272727273,55,892.47
"12775","Netherlands",1386.04,3,12,10,66,21.0006060606061,6.6,138.604
"12778","Netherlands",822.23,2,12,11,50,16.4446,4.54545454545455,74.7481818181818
"12779","Poland",3981.36,1,12,12,149,26.7205369127517,12.4166666666667,331.78
"12781","Czech Republic",826.74,3,11,9,25,33.0696,2.77777777777778,91.86
"12782","Portugal",2078.67,1,8,8,89,23.3558426966292,11.125,259.83375
"12783","Portugal",1825.33,10,12,3,67,27.2437313432836,22.3333333333333,608.443333333333
"12784","Portugal",574.42,12,12,1,59,9.73593220338983,59,574.42
"12785","Portugal",311.95,1,1,1,14,22.2821428571429,14,311.95
"12787","Netherlands",463.66,6,12,7,20,23.183,2.85714285714286,66.2371428571429
"12789","Netherlands",91.85,11,11,1,4,22.9625,4,91.85
"12790","Netherlands",324.92,6,6,1,21,15.472380952381,21,324.92
"12791","Netherlands",192.6,1,1,1,2,96.3,2,192.6
"12792","Portugal",400.54,4,4,1,25,16.0216,25,400.54
"12793","Portugal",545.48,1,2,2,24,22.7283333333333,12,272.74
"12794","Portugal",860.41,10,11,2,45,19.1202222222222,22.5,430.205
"12795","Portugal",430.48,12,12,1,14,30.7485714285714,14,430.48
"12797","Portugal",254.03,1,1,1,13,19.5407692307692,13,254.03
"12798","Japan",6977.04,7,12,6,8,872.13,1.33333333333333,1162.84
"12802","Netherlands",427.58,7,7,1,25,17.1032,25,427.58
"12808","Portugal",483.65,1,12,12,28,17.2732142857143,2.33333333333333,40.3041666666667
"12809","Portugal",489.31,7,7,1,25,19.5724,25,489.31
"12811","Portugal",514.85,3,4,2,31,16.608064516129,15.5,257.425
"12812","Japan",229.64,11,11,1,15,15.3093333333333,15,229.64
"12814","Poland",125.92,9,9,1,2,62.96,2,125.92
"12815","Poland",1063.46,6,8,3,47,22.6268085106383,15.6666666666667,354.486666666667
"12816","Poland",572.2,7,10,4,29,19.7310344827586,7.25,143.05
"12817","Austria",166.04,4,4,1,4,41.51,4,166.04
"12818","Austria",1542.08,4,4,1,14,110.148571428571,14,1542.08
"12820","United Kingdom",731.99,2,11,10,47,15.5742553191489,4.7,73.199
"12821","United Kingdom",92.72,6,6,1,6,15.4533333333333,6,92.72
"12822","United Kingdom",948.88,10,10,1,46,20.6278260869565,46,948.88
"12823","United Kingdom",1759.5,3,10,8,5,351.9,0.625,219.9375
"12824","United Kingdom",397.12,11,11,1,25,15.8848,25,397.12
"12826","United Kingdom",1332.12,1,12,12,84,15.8585714285714,7,111.01
"12827","United Kingdom",318.7,11,12,2,20,15.935,10,159.35
"12828","United Kingdom",661.31,9,11,3,38,17.4028947368421,12.6666666666667,220.436666666667
"12829","United Kingdom",293,1,2,2,11,26.6363636363636,5.5,146.5
"12830","United Kingdom",6814.64,7,12,6,38,179.332631578947,6.33333333333333,1135.77333333333
"12831","United Kingdom",215.05,4,4,1,9,23.8944444444444,9,215.05
"12832","United Kingdom",383.03,10,12,3,27,14.1862962962963,9,127.676666666667
"12833","United Kingdom",417.38,8,8,1,24,17.3908333333333,24,417.38
"12834","United Kingdom",312.38,4,4,1,18,17.3544444444444,18,312.38
"12836","United Kingdom",2612.86,3,11,9,175,14.9306285714286,19.4444444444444,290.317777777778
"12837","United Kingdom",134.1,7,7,1,12,11.175,12,134.1
"12838","United Kingdom",683.13,1,12,12,123,5.55390243902439,10.25,56.9275
"12839","United Kingdom",4839.03,1,12,12,283,17.0990459363958,23.5833333333333,403.2525
"12840","United Kingdom",2726.77,5,8,4,113,24.1307079646018,28.25,681.6925
"12841","United Kingdom",3871.34,1,12,12,391,9.9011253196931,32.5833333333333,322.611666666667
"12842","United Kingdom",1118.99,3,10,8,34,32.9114705882353,4.25,139.87375
